value
2176143257053
1720022791077
1425474286560
1245688588893
1169950587483
1468456342584
1803493461477
2155939289615
2320478596526
2280863158222
2639285484220
2747508553910
2848377301825
2935534809839
2701901395297
2406115215871
2363500285896
2554295881542
2439555794478
2736503532899
2835335744955
3124223036795
3191158115799
2553792337750
